id;titre;contenu;type_annonce;prix_min;prix_max;surface_min;nombre_chambres_min;meuble_uniquement;active;frequence;derniere_execution;titulaire_id
1;porte-parole;y vroum assurément;LOCATION;16198.86;24183.08;3379.06;4601;true;true;QUOTIDIENNE;2023-12-15T18:32:19;1
2;foule meuh à travers;psitt sincère considérable;LOCATION;31185.44;24363.89;16172.21;12155;false;true;QUOTIDIENNE;2023-12-15T18:53:15;2
3;totalement pour que;équipe;COLOCATION;13981.62;29521.05;2047.23;26038;true;false;IMMEDIATE;2023-12-15T16:30:50;1
4;du moment que;tellement à défaut de en dépit de;VENTE;17447.4;28569.93;2831.39;6882;true;false;IMMEDIATE;2023-12-15T17:02:48;2
5;si bien que lectorat;retrouver moyennant ouin;VENTE;15724.33;23348.54;18917.23;531;false;true;IMMEDIATE;2023-12-15T17:11:05;2
6;à la merci défendre;hôte;COLOCATION;26991.96;8140.52;848.84;30220;true;false;HEBDOMADAIRE;2023-12-15T21:48:41;1
7;gâcher boum drôlement;signifier;VENTE;28605.05;15363.68;11057.82;17622;false;true;QUOTIDIENNE;2023-12-15T14:32:26;1
8;influencer;oups;LOCATION;19834.37;4005.33;28109.87;19812;false;false;HEBDOMADAIRE;2023-12-16T06:35:52;2
9;appeler vite;être modeler;LOCATION;18901.51;3721.92;26017.88;10187;false;true;QUOTIDIENNE;2023-12-15T15:04:27;2
10;en;avare juriste corps enseignant;VENTE;17668.18;11195.64;31513.65;18945;true;true;QUOTIDIENNE;2023-12-15T09:57:32;2
11;athlète moins ouf;cultiver contre;VENTE;18042.45;28322.77;24375.48;20278;true;false;IMMEDIATE;2023-12-16T05:13:11;2
12;en plus de ouah mairie;toc;VENTE;29828.57;24766.16;22687.15;19882;false;false;IMMEDIATE;2023-12-15T11:45:57;2
13;à l'encontre de;dans la mesure où;VENTE;1057.49;4318.91;30807.65;4941;true;true;QUOTIDIENNE;2023-12-16T00:34:44;1
14;chez ouin peu;géométrique discerner;VENTE;12983.09;1265.78;3631.08;21938;false;false;QUOTIDIENNE;2023-12-15T18:07:21;1
15;pénétrer;foule crac;COLOCATION;29398.96;12977.85;32038.37;19840;true;true;QUOTIDIENNE;2023-12-15T15:23:19;1
16;insuffisamment;prout manier;COLOCATION;12831.67;8177.36;7181.87;17019;false;true;QUOTIDIENNE;2023-12-15T17:29:03;2
17;insolite;intrépide d'abord police;COLOCATION;27377.78;32478.86;31050.21;10691;false;true;HEBDOMADAIRE;2023-12-15T19:49:53;2
18;pendant que;grâce à police déceler;COLOCATION;24881.52;9862.88;3198.16;27381;false;true;IMMEDIATE;2023-12-15T16:31:11;2
19;touriste;brave aujourd'hui âcre;LOCATION;29095.81;9182.67;18295.85;22146;true;false;HEBDOMADAIRE;2023-12-15T15:13:29;1
20;quelquefois;commis;COLOCATION;7527.39;14626.49;32088.69;2314;false;false;IMMEDIATE;2023-12-15T17:24:32;2
21;d’autant que vivace;tsoin-tsoin vanter;LOCATION;25754;12363.37;16650.17;14993;true;true;HEBDOMADAIRE;2023-12-15T16:02:25;1
22;alors que ha;dorénavant;COLOCATION;29996.8;13159.19;6279.87;12731;false;true;QUOTIDIENNE;2023-12-15T23:23:02;1
23;à la faveur de;bof trop;LOCATION;10857.52;17952.11;26366.01;3846;true;true;IMMEDIATE;2023-12-15T12:24:00;2
24;entreprendre du moment que;trop jusque cocorico;VENTE;21838.79;27815.3;15463.85;23931;true;false;IMMEDIATE;2023-12-15T22:23:01;1
25;parmi arrière;bzzz;VENTE;28248.81;30007.98;22331.74;27018;false;true;IMMEDIATE;2023-12-16T00:05:25;1
26;au prix de miaou au-dedans de;attraper contre quand;VENTE;23217.15;11124.51;8851.37;7332;false;true;IMMEDIATE;2023-12-16T03:55:48;1
27;à moins de;chez de façon à hystérique;VENTE;29616.88;15935.19;12514.57;2774;false;true;IMMEDIATE;2023-12-16T04:49:14;1
28;rectorat;quand;LOCATION;22354.47;19247.37;5886.89;31202;false;false;IMMEDIATE;2023-12-16T01:18:03;1
29;miaou vouh de par;épargner solitaire décoller;LOCATION;3972.06;27541.16;16237.95;31898;true;false;IMMEDIATE;2023-12-15T23:32:17;2
30;attendre que pendant que;avant de ouf guide;COLOCATION;21535.94;19054.25;27153.51;9317;false;false;HEBDOMADAIRE;2023-12-15T17:09:20;1
