id;date_envoi;alerte_id;annonce_id
1;2023-12-15T21:37:27;1;1
2;2023-12-16T06:59:58;2;2
3;2023-12-15T10:35:34;3;3
4;2023-12-15T17:41:30;4;4
5;2023-12-15T15:28:46;5;5
6;2023-12-15T19:59:47;6;6
7;2023-12-15T12:48:16;7;7
8;2023-12-15T09:38:49;8;8
9;2023-12-15T18:08:32;9;9
10;2023-12-15T12:48:42;10;10
11;2023-12-15T22:58:39;11;11
12;2023-12-15T20:13:46;12;12
13;2023-12-16T05:57:21;13;13
14;2023-12-15T10:31:35;14;14
15;2023-12-15T23:10:25;15;15
16;2023-12-15T23:26:31;16;16
17;2023-12-16T01:15:15;17;17
18;2023-12-15T18:32:44;18;18
19;2023-12-16T04:40:44;19;19
20;2023-12-16T01:03:18;20;20
21;2023-12-15T13:53:44;21;21
22;2023-12-15T22:22:43;22;22
23;2023-12-15T16:49:28;23;23
24;2023-12-16T00:40:58;24;24
25;2023-12-15T09:40:33;25;25
26;2023-12-15T08:34:20;26;26
27;2023-12-15T14:07:48;27;27
28;2023-12-16T07:01:50;28;28
29;2023-12-15T12:27:09;29;29
30;2023-12-15T17:37:48;30;30
