id;titre;contenu;type;prix;nombre_vues;date_publication;date_expiration;statut;immobilier_id;auteur_id
1;patientèle;également touchant;LOCATION;10110.2;4151;2023-12-15T22:34:42;2023-12-15T17:56:16;CLOTUREE;1;1
2;assez touriste;ding après élaborer;COLOCATION;14578.07;26255;2023-12-15T20:19:44;2023-12-15T17:53:20;BROUILLON;2;2
3;hi rédaction;hypocrite alors que au point que;COLOCATION;9003.46;28552;2023-12-16T05:58:25;2023-12-15T12:00:21;EXPIREE;3;2
4;gai simple presque;désormais;COLOCATION;2824.08;12271;2023-12-15T21:23:30;2023-12-16T06:24:13;EXPIREE;4;2
5;bof plic de façon à ce que;d'entre;COLOCATION;16765.88;22277;2023-12-15T09:02:53;2023-12-16T01:00:22;EXPIREE;5;1
6;lors de sage au lieu de;manipuler;COLOCATION;19192.71;26643;2023-12-16T07:36:51;2023-12-15T15:02:34;SUSPENDUE;6;1
7;près de grâce à en decà de;membre titulaire coac coac à défaut de;VENTE;17906.88;24386;2023-12-15T22:56:09;2023-12-15T08:32:13;SUSPENDUE;7;2
8;toc fade;main-d’œuvre baigner;COLOCATION;15035.7;2513;2023-12-15T19:45:02;2023-12-15T14:29:14;PUBLIEE;8;2
9;miam;miaou de façon que;COLOCATION;8973.16;4181;2023-12-15T19:33:57;2023-12-16T08:08:41;SUSPENDUE;9;1
10;commissionnaire pourvu que;égoïste charitable;VENTE;31143;10565;2023-12-15T11:24:44;2023-12-15T23:40:15;CLOTUREE;10;1
11;du fait que chef de cuisine via;marron ennuyer;VENTE;13112.61;8849;2023-12-15T23:29:52;2023-12-16T02:26:04;CLOTUREE;11;2
12;pressentir dense éliminer;circulaire vorace vers;LOCATION;14249.67;31460;2023-12-15T22:51:58;2023-12-15T09:39:40;PUBLIEE;12;1
13;bien que frotter charitable;après-demain officier;LOCATION;26907.21;27373;2023-12-16T04:18:36;2023-12-15T09:51:33;CLOTUREE;13;2
14;secours;respirer afin que équipe;LOCATION;1918.09;22666;2023-12-15T22:37:29;2023-12-16T07:08:17;PUBLIEE;14;1
15;gens;parfois tantôt;COLOCATION;24708.35;7335;2023-12-16T06:40:12;2023-12-15T17:12:38;BROUILLON;15;2
16;aussitôt que administration;ouch chef de cuisine;LOCATION;13676.3;11753;2023-12-15T16:21:15;2023-12-15T10:00:55;BROUILLON;16;2
17;assez;ouch pas mal;LOCATION;20931.54;31522;2023-12-16T07:07:04;2023-12-15T16:19:36;CLOTUREE;17;2
18;main-d’œuvre tchou tchouu;aigre si bien que euh;COLOCATION;21437.1;13216;2023-12-15T14:16:13;2023-12-15T16:26:48;PUBLIEE;18;2
19;altruiste vu que;drôlement athlète après;LOCATION;4425.1;23398;2023-12-15T15:44:06;2023-12-15T13:46:23;BROUILLON;19;1
20;vérifier;dès que entre;VENTE;16032.28;4373;2023-12-16T03:00:53;2023-12-15T13:45:25;BROUILLON;20;1
21;parce que tandis que à l'insu de;guide;LOCATION;31172.73;10117;2023-12-15T09:37:41;2023-12-15T16:59:29;BROUILLON;21;2
22;concernant très conseil d’administration;membre titulaire;VENTE;5898.45;4041;2023-12-15T14:03:10;2023-12-16T00:35:22;CLOTUREE;22;1
23;mince glouglou raide;bof secours;COLOCATION;23662.85;15391;2023-12-15T16:01:17;2023-12-16T02:29:30;SUSPENDUE;23;1
24;maigre grrr à travers;actionnaire cependant membre du personnel;COLOCATION;18006.05;8546;2023-12-15T23:41:30;2023-12-16T00:44:41;EXPIREE;24;1
25;quand ? toc;foule;LOCATION;6597.62;13293;2023-12-15T20:02:36;2023-12-16T03:09:04;EXPIREE;25;1
26;là-haut édifier;à bas de porte-parole;LOCATION;26435.34;1966;2023-12-15T11:03:16;2023-12-16T03:48:21;CLOTUREE;26;1
27;trop suivant;grrr grrr;VENTE;17028.37;7942;2023-12-15T12:52:20;2023-12-15T14:30:41;BROUILLON;27;1
28;rectorat sympathique membre titulaire;sauf vivace infime;VENTE;8223.61;8251;2023-12-15T19:13:34;2023-12-16T03:58:15;SUSPENDUE;28;1
29;exprès téléphoner;considérable mairie toutefois;COLOCATION;31947.54;516;2023-12-16T06:22:18;2023-12-15T14:24:34;BROUILLON;29;2
30;cadre clac;près de miaou;COLOCATION;5527.26;6929;2023-12-15T14:09:10;2023-12-15T09:37:46;EXPIREE;30;2
