id;nombre_places;places_restantes;sexe_recherche;age_min;age_max;loyer;caution;charges;regles_de_vie;annonce_id
1;7481;15999;HOMME;120;120;32468.33;30098.53;30100.54;veiller bof dessous;1
2;23762;15876;HOMME;38;113;7266.38;24133.62;10214.4;infime;2
3;28477;26040;HOMME;66;91;26403.25;25247.91;22905;que ha ha après;3
4;27500;9204;INDIFFERENT;75;19;28993.19;1832.84;31236.47;gestionnaire dès que areu areu;4
5;29872;18179;INDIFFERENT;64;51;23373.88;10435.98;325.64;actionnaire;5
6;9496;23483;HOMME;39;108;32363.47;26442.35;29942.13;guère cerner dehors;6
7;2533;3508;HOMME;110;70;10283.13;3414.01;7658.94;apparemment trop tandis que;7
8;566;14996;HOMME;117;120;29507.67;12852.97;16697.08;de manière à triompher;8
9;7806;32705;INDIFFERENT;115;55;9678.69;28843.32;4437.82;cuicui tarder apparemment;9
10;6255;17486;HOMME;44;67;15259.94;31719.31;19178.26;ouch trop;10
11;5535;15719;HOMME;83;50;32435.99;32406.76;5674.72;concurrence en guise de;11
12;17119;1857;HOMME;70;44;491.92;31999.45;21531.91;étant donné que;12
13;9301;4528;HOMME;116;74;21855.37;21802.9;31533.79;pendre vouh;13
14;32521;25052;FEMME;38;107;23291.73;19127.84;17057.3;pourpre;14
15;302;17442;FEMME;49;77;14879.07;31138.17;30590.3;afin que ouin;15
16;32032;17567;INDIFFERENT;27;38;7991.37;17579.5;31688.45;mairie;16
17;7217;13834;INDIFFERENT;100;24;6058.03;15487.32;28309.29;sale présidence;17
18;31712;22160;FEMME;120;69;21198.51;930.22;9020.13;aux alentours de;18
19;27868;14624;INDIFFERENT;61;90;3132.74;21910.25;15122.6;comme cuicui;19
20;11849;19170;INDIFFERENT;76;23;24605.88;2044.03;30424.68;sauf au point que;20
21;9044;32166;HOMME;78;25;32262.19;5759.49;32636.83;peser sauf agréable;21
22;26201;10700;HOMME;29;108;18803.34;14197.49;1837.57;deçà âcre de crainte que;22
23;17559;3471;HOMME;32;68;28511.18;22178.46;4018.38;équipe police;23
24;21780;7535;FEMME;106;62;26220.05;21015.2;8801.14;aïe;24
25;2117;26941;INDIFFERENT;18;32;29332.01;26707.65;21022.83;appliquer afin que;25
26;13646;18058;HOMME;27;75;4649.19;1542.88;12842.92;spécialiste toutefois toc-toc;26
27;1163;3732;FEMME;95;102;31139.15;21290;27996;dégager vider;27
28;9191;31354;INDIFFERENT;58;19;9205.19;31860.07;14532.09;à moins de dans la mesure où;28
29;13184;18025;HOMME;38;24;26640.13;14243.22;16630.31;par rapport à;29
30;9595;22571;HOMME;87;75;27750.47;1340.42;3351.36;concernant antagoniste;30
