id;nom;icone
1;éloigner retrouver avoir;intrépide
2;foule;avoir toutefois
3;pour;bien
4;à raison de;gérer tant que parce que
5;pendant que ruiner dring;à moins de devant vraiment
6;pendant hirsute brusque;de manière à dynamique emmener
7;ha ha;areu areu si bien que cadre
8;au-delà triathlète entièrement;comme tantôt
9;dans la mesure où;ci
10;étant donné que par rapport à;snif de par vouh
11;hôte;sympathique crier
12;énergique soulever;inventer avant
13;redresser;main-d’œuvre
14;clac;chut
15;agiter délégation accumuler;rectangulaire
16;extra;croître
17;adopter;divinement fourbe
18;cocorico en plus de proche de;parcourir sous
19;lorsque clac;contrarier aussi
20;admirablement;d’autant que ainsi nonobstant
21;lectorat;très si bien que
22;à partir de après que;tantôt auprès de
23;prout hypocrite;de façon que spécialiste
24;frapper;svelte
25;ouille sur dévorer;mordre après quant à
26;pauvre;quand ? électorat
27;triathlète zzzz;tendre après que terriblement
28;gai;diététiste équipe de recherche
29;bof;membre titulaire
30;fonctionnaire;loin parlementaire introduire
