id;nom;description;adresse;surface;nombre_pieces;nombre_chambres;nombre_salles_bain;nombre_salons;garage;piscine;meuble;disponible_a;statut;latitude;longitude;date_creation;proprietaire_id
1;proche de échouer;badaboum pour que;impromptu dynamique derrière;8946.04;2465;27255;32639;864;false;false;true;2023-12-15;DISPONIBLE;7185.43;2243.74;2023-12-16T07:59:49;1
2;sous couleur de;rectorat;vanter quasiment;9410.08;25357;8549;4783;3555;true;true;false;2023-12-15;DISPONIBLE;2709.22;20912.99;2023-12-15T17:09:48;2
3;contre renaître affronter;devoir camarade;à défaut de;26660.27;184;10206;6239;27962;false;false;true;2023-12-15;BROUILLON;26937.79;27526.77;2023-12-16T03:19:59;2
4;vorace ha;hé là-haut délectable;étant donné que;8613.8;4371;26241;11127;21311;false;false;true;2023-12-15;PARTIELLEMENT_LOUE;5079.16;16120.78;2023-12-15T19:24:10;2
5;cultiver prout;smack à cause de en dedans de;délégation emmener nettoyer;328;22063;1308;29864;14206;true;true;true;2023-12-16;LOUE;17645.74;18720.47;2023-12-15T15:30:14;2
6;triangulaire;trop peu membre de l’équipe main-d’œuvre;entièrement;9786.14;19054;4851;12817;27805;false;false;false;2023-12-15;DISPONIBLE;28081.36;23992.93;2023-12-15T12:38:08;1
7;du fait que;gestionnaire;parce que;6665.01;11999;15781;25580;15533;false;false;true;2023-12-15;BROUILLON;32010.83;10315.95;2023-12-15T15:39:29;1
8;aïe ah;cependant;circulaire;25588.7;16519;14019;13420;5682;false;false;true;2023-12-15;BROUILLON;245.8;8695.66;2023-12-15T11:31:15;2
9;lâche;sans à la faveur de;antagoniste tsoin-tsoin presque;20593.35;4565;17100;6307;25305;true;false;true;2023-12-16;BROUILLON;24672.6;6034.06;2023-12-15T20:14:48;1
10;après que;tic-tac solitaire;à l'exception de coin-coin;15613.74;12611;6692;14308;953;true;true;false;2023-12-16;BROUILLON;25851.36;19773.84;2023-12-16T02:05:29;2
11;plouf actionnaire plier;amorphe;dans la mesure où même si au défaut de;7892.23;25820;8106;1916;7971;false;true;false;2023-12-15;LOUE;7793.07;14314.26;2023-12-16T05:04:58;2
12;prestataire de services;obéir coin-coin lorsque;blême au prix de au point que;24537.4;28049;13513;15865;30311;false;false;false;2023-12-15;ARCHIVE;8979.9;14090.78;2023-12-15T21:29:02;1
13;jamais outre tandis que;biathlète parlementaire;contrarier;2001.43;31761;2013;26682;3189;true;false;true;2023-12-15;BROUILLON;7777.7;19965.65;2023-12-15T09:25:06;1
14;membre titulaire;débile innombrable aux environs de;adepte;19509.59;19516;19122;835;25949;false;true;false;2023-12-15;ARCHIVE;27661.25;26117.04;2023-12-15T14:22:25;2
15;guide;d'entre;longtemps;2367.87;9076;4674;27772;6633;false;true;true;2023-12-15;DISPONIBLE;1971.96;27161.8;2023-12-15T17:54:31;1
16;passablement préparer;sans doute;puisque;30416.72;22896;3326;20744;299;false;true;false;2023-12-16;LOUE;2745.8;31688.49;2023-12-15T18:27:02;1
17;areu areu en dépit de spécialiste;près à condition que lunatique;à l'exception de;29281.27;20704;17218;16279;30939;false;false;true;2023-12-16;LOUE;13429.43;25518.08;2023-12-15T21:55:53;1
18;dès que remettre;touchant puisque de par;puisque;8708.9;16506;5596;7324;7950;false;false;true;2023-12-15;PARTIELLEMENT_LOUE;26667.77;12615.68;2023-12-15T10:34:24;2
19;pourpre large;quand;aïe;4138.58;18878;27837;19562;6447;true;false;true;2023-12-16;DISPONIBLE;26180.8;29355.6;2023-12-15T23:48:56;2
20;durant;de sorte que à l'égard de ouah;à raison de glouglou;32530.72;16115;6208;17437;5906;false;true;false;2023-12-16;LOUE;15193.53;20362.99;2023-12-15T15:03:22;2
21;autant;neutre toutefois;ha plus tant que;2490.64;13330;18176;9584;16756;false;true;true;2023-12-15;ARCHIVE;17649.38;28160.93;2023-12-16T03:27:33;1
22;juriste;passager;sans doute quasiment;5357.95;7471;981;32158;30138;true;true;true;2023-12-16;ARCHIVE;13812.37;3342.04;2023-12-15T08:54:58;2
23;si équipe de recherche toc;attraper hâter aigre;totalement hypocrite;17779.61;17631;13367;7230;301;true;true;true;2023-12-16;DISPONIBLE;407.99;27118.13;2023-12-16T06:19:15;1
24;drôlement fonctionnaire en vérité;moyennant moyennant patientèle;pff épargner sous couleur de;19110.86;31115;30521;28660;17187;false;true;true;2023-12-15;PARTIELLEMENT_LOUE;6930.66;29183.55;2023-12-15T19:37:32;2
25;ici;multiple;diplomate tic-tac si bien que;29700.03;7422;20994;16867;13028;true;false;true;2023-12-15;DISPONIBLE;3626.09;4906.87;2023-12-15T12:27:00;2
26;bof afin que;infiniment refuser;hâter conseil municipal;5934.19;26053;18165;21758;28819;true;false;false;2023-12-15;DISPONIBLE;4148.66;17846.15;2023-12-15T12:27:26;1
27;administration en outre de tchou tchouu;entièrement;en face de chanter à peu près;3230.29;14030;22592;2164;7795;true;false;false;2023-12-15;PARTIELLEMENT_LOUE;16522.26;10707.03;2023-12-15T15:17:43;2
28;vu que;fusiller de peur que;areu areu;17163.4;20624;22629;9455;10645;true;false;false;2023-12-16;ARCHIVE;8987.83;14930.61;2023-12-16T02:44:52;2
29;que avertir ouille;étranger plouf;également déshabiller sombre;19436.33;18973;22675;15842;2738;true;true;false;2023-12-16;LOUE;8686.95;20596.67;2023-12-16T06:39:15;2
30;solitaire aussitôt que insuffisamment;taper ailleurs;intrépide tandis que administrer;5806.82;25464;11996;13615;25882;false;true;true;2023-12-15;BROUILLON;21742.59;14615.23;2023-12-15T14:22:41;1
