id;nom;description
1;sans prestataire de services;loin de
2;d’autant que avant que;croâ
3;éveiller;vu que
4;vu que;parfois orange
5;ha ha;sans que
6;exercer dense de peur que;pour que membre du personnel
7;à condition que effrayer partenaire;dériver d'avec financer
8;mélancolique;triste amorphe
9;dans aussitôt que tchou tchouu;lors de
10;électorat à défaut de;de afin que tsoin-tsoin
11;de si bien que subito;sans que
12;infime dessous;naguère triathlète ferme
13;efficace pin-pon;euh broum
14;vétuste;personnel
15;avex miam entièrement;tandis que gai deçà
16;atchoum;au-dessous de dessous
17;redresser si bien que;à l'instar de
18;commenter;tendre au-dessus de quand
19;hirsute à l'exception de avare;à la merci avex hi
20;aggraver bof à l'instar de;au lieu de par rapport à triste
21;à force de;bzzz chef de cuisine diététiste
22;pauvre depuis de peur de;alentour reconstruire charitable
23;ensemble sur au-dessus de;après au dépens de hé
24;présidence;plutôt maintenant rudement
25;du fait que;avare contre marron
26;respirer;pauvre
27;partout débile former;mesurer
28;athlète atchoum;croâ étant donné que
29;ah faire;présidence
30;subito bof crac;vis-à-vie de pendre
