id;prix;description;charges;periodicite;date_effet;immobilier_id
1;26564.03;groin groin pour de façon que;20031.17;TRIMESTRIEL;2023-12-16;1
2;29716.17;miam;31532.24;ANNUEL;2023-12-15;2
3;31578.86;en plus de communauté étudiante;28745.72;TRIMESTRIEL;2023-12-16;3
4;18450.23;auprès de souffler;1673.47;TRIMESTRIEL;2023-12-16;4
5;28792.76;vorace verger;22684.98;TRIMESTRIEL;2023-12-15;5
6;22600.85;recevoir;18987.84;MENSUEL;2023-12-16;6
7;10696.94;grrr à condition que recommander;290.18;ANNUEL;2023-12-15;7
8;12226.29;énorme;9320.5;MENSUEL;2023-12-16;8
9;2620.05;décrocher psitt;28233.3;MENSUEL;2023-12-16;9
10;28852.18;fidèle outre pousser;7665.19;TRIMESTRIEL;2023-12-15;10
11;29318.8;frotter ruiner prestataire de services;10760.57;TRIMESTRIEL;2023-12-15;11
12;23400.44;dedans tant que;25517.13;TRIMESTRIEL;2023-12-15;12
13;31258.64;calme débile derrière;27282.39;TRIMESTRIEL;2023-12-15;13
14;2080.08;séculaire triste;8884.18;TRIMESTRIEL;2023-12-16;14
15;30248.03;assimiler terriblement vouh;589.01;ANNUEL;2023-12-15;15
16;23567.74;actionnaire cueillir vroum;25057.27;MENSUEL;2023-12-16;16
17;6712.87;cadre comme minuscule;13363.44;TRIMESTRIEL;2023-12-15;17
18;13465.15;vaste smack demain;15217.26;ANNUEL;2023-12-16;18
19;2258.44;incalculable moderne;11200.67;ANNUEL;2023-12-15;19
20;32152.19;rédaction;24625.83;TRIMESTRIEL;2023-12-16;20
21;2725.02;areu areu absolument membre du personnel;11277.77;ANNUEL;2023-12-15;21
22;9493.7;croâ main-d’œuvre;31232.47;ANNUEL;2023-12-15;22
23;13888.11;sur diplomate;25373.28;TRIMESTRIEL;2023-12-15;23
24;24787.58;drelin débile;7551.74;ANNUEL;2023-12-15;24
25;14885.03;alors que main-d’œuvre;9393.64;ANNUEL;2023-12-15;25
26;11234.55;dans la mesure où;29671.43;ANNUEL;2023-12-15;26
27;27973.79;grâce à alentour;17023.68;MENSUEL;2023-12-15;27
28;2609.3;selon;15065.79;ANNUEL;2023-12-15;28
29;12780.2;pour que passer;14287.5;ANNUEL;2023-12-16;29
30;11463.36;avant-hier après que;3669.32;TRIMESTRIEL;2023-12-15;30
