id;nom;description;localite_id
1;vu que oui;fort très;1
2;tellement préparer euh;euh;2
3;sauvage;arrière;3
4;équipe à seule fin de;à seule fin de;4
5;tic-tac à partir de gai;de sorte que;5
6;quand touchant de manière à ce que;atchoum alors que;6
7;après-demain bûcher;parfois;7
8;main-d’œuvre porte-parole meuh;vu que;8
9;rembourser croâ administration;pourvu que hystérique;9
10;commissionnaire;pourvu que tsoin-tsoin;10
11;bzzz jusque timide;joliment spécialiste plouf;11
12;carrément;refermer;12
13;extatique proposer;de camarade;13
14;conseil d’administration à l'instar de guide;cyan;14
15;collègue vis-à-vie de;séculaire rectorat de crainte que;15
16;envers chut;recta assurément;16
17;membre à vie révéler fade;plic tsoin-tsoin;17
18;sans que;dans la mesure où loger lâche;18
19;hors de sans que;insipide composer;19
20;emporter mal;pouvoir;20
21;triste vouh vanter;jusqu’à ce que;21
22;à condition que;à raison de résister;22
23;dès que;sans pis franco;23
24;gratis pratiquer parce que;au point que bof;24
25;de crainte que pour étant donné que;accélérer intéresser;25
26;chef de cuisine drôlement;à la merci auprès de;26
27;sitôt que administration;sédentaire serviable;27
28;ronron;effectuer près pourpre;28
29;obliger;enterrer hors;29
30;délégation autant;repartir;30
