id;nom;description
1;personnel tandis que;blablabla près consacrer
2;responsable;toujours badaboum adepte
3;du moment que quand alors que;responsable dispenser
4;oh tranquille;hôte sitôt que user
5;encore;certainement
6;commis de cuisine;incalculable suffire
7;gai;devant parfois
8;coac coac quand;jusqu’à ce que
9;ôter à côté de presque;agréable oups comme
10;tchou tchouu juriste;magenta collègue
11;avant que attarder ouf;tchou tchouu
12;combien répondre direction;à partir de bof tout à fait
13;quoique aïe;suivant
14;sembler boum;que parmi commis
15;zzzz ah;en dépit de
16;autant;ha police
17;complètement charitable tsoin-tsoin;jusqu’à ce que avex toc-toc
18;adepte couler de manière à ce que;du fait que ouin
19;disposer;solitaire
20;en faveur de communauté étudiante;fonctionnaire
21;bzzz;broum à même gratis
22;tôt;police
23;blablabla vraiment;pis à la merci
24;magnifique gens;ressentir assurément cocorico
25;vaste précisément dessous;dehors vétuste
26;atchoum ainsi;de sorte que
27;sous couleur de;vraiment
28;sitôt que psitt;relier
29;nouer;svelte
30;tant que sombre;vide vérifier
