id;nom;description
1;puisque environ spécialiste;que alentour psitt
2;avant que;alors que
3;athlète de façon que capter;concurrence via ébranler
4;bzzz;devant
5;pourpre;hôte conseil d’administration entre
6;lorsque;splendide au cas où
7;chef enfiler;sitôt que alors que
8;extatique chef porte-parole;après-demain assez spécialiste
9;sans;sous chut
10;habile;impromptu
11;cocorico sans que;dehors deçà
12;commis bien que à la merci;boulanger novice
13;occuper;tsoin-tsoin
14;de manière à ce que;tant
15;psitt police;du fait que quoique dès que
16;bè;sauf porte-parole
17;du fait que mature;en outre de
18;dévorer boum;redevenir vorace de peur de
19;hors de ding areu areu;géométrique quasi déterminer
20;toc-toc;apparemment comme
21;chut raide;autant envers badaboum
22;rattacher trop sympathique;de manière à ce que
23;drôlement sombre;assez
24;énorme autour de mairie;loin trop peu doucement
25;peut-être flotter pschitt;membre à vie
26;grâce à ah bang;présidence
27;personnel professionnel tsoin-tsoin avant;antagoniste
28;rafraîchir battre;sale
29;puisque serviable de crainte que;à bas de hors de plutôt
30;peut-être vis-à-vie de;devant éviter
