id;date_vue;adresse_ip;annonce_id
1;2023-12-15T10:52:54;quand ? pour que camarade;1
2;2023-12-16T02:59:01;juriste gestionnaire;2
3;2023-12-15T12:29:03;gai;3
4;2023-12-15T11:27:32;chef;4
5;2023-12-15T23:59:57;sitôt que ailleurs;5
6;2023-12-15T22:03:57;tchou tchouu maintenant;6
7;2023-12-16T06:25:13;mordre aïe;7
8;2023-12-15T14:29:05;smack propre sous couleur de;8
9;2023-12-15T14:14:30;âcre impromptu administration;9
10;2023-12-16T02:10:42;toc équipe de recherche;10
11;2023-12-16T04:55:25;lors triathlète;11
12;2023-12-15T23:41:03;ouah autour tantôt;12
13;2023-12-15T08:42:58;quitte à clientèle cocorico;13
14;2023-12-15T15:49:19;très jeune enfant d'avec;14
15;2023-12-15T14:47:28;sous couleur de;15
16;2023-12-15T22:06:49;police pendant que;16
17;2023-12-16T02:08:22;tuer tranquille aussi;17
18;2023-12-16T05:12:57;marron;18
19;2023-12-15T21:02:48;de la part de lectorat sauf à;19
20;2023-12-16T01:57:07;évoquer;20
21;2023-12-16T07:04:49;via réparer;21
22;2023-12-15T11:52:52;de manière à ce que pourvu que au-dessus de;22
23;2023-12-15T09:13:11;vu que;23
24;2023-12-15T15:49:33;de façon à ce que en dedans de;24
25;2023-12-15T22:08:45;pourpre propre;25
26;2023-12-15T21:15:23;vétuste quant à;26
27;2023-12-15T09:45:42;communauté étudiante envoyer membre à vie;27
28;2023-12-15T12:21:58;du moment que dans la mesure où;28
29;2023-12-15T22:13:17;obtenir tout bzzz;29
30;2023-12-16T01:13:43;sous;30
